"ID","OR","Last Name","First Name","Team","Status","Status Details","Eligible Positions","Avg. Pick","Avg. Round","Avg. Cost","% Drafted","FG%","FT%","3PTM","PTS","REB","AST","ST","BLK","TO","Image"
"428.p.5638","61","Murray","Jamal","DEN","Questionable","GTD - Calf","PG,SG","41.4","4.0","$21.9","100%","0.481","0.853","145","1250","242","384","57","39","125","https://s.yimg.com/iu/api/res/1.2/GQXZurJCLi_8LlPV7MDkkw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10182023/5638.png"
"428.p.6169","62","White","Coby","CHI","Available","","PG,SG","130.3","11.6","$1.2","54%","0.447","0.838","209","1509","358","405","53","18","166","https://s.yimg.com/iu/api/res/1.2/NuMtB1tFDHG2yie4KhIJ4w--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10172023/6169.png"
"428.p.6693","63","Smith Jr.","Jabari","HOU","Available","","C,PF","92.5","8.4","$6.3","100%","0.454","0.811","138","1044","616","121","52","61","89","https://s.yimg.com/iu/api/res/1.2/8Q3t5ER99rOVI5IjS_vh1Q--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10162023/6693.png"
"428.p.6403","64","Vassell","Devin","SAS","Questionable","GTD - Foot","SF,SG","70.4","6.4","$10.4","100%","0.472","0.801","166","1323","261","277","73","23","108","https://s.yimg.com/iu/api/res/1.2/JIZxH7yRWoKOKkq.S1g2bg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10122023/6403.png"
"428.p.5637","65","Hield","Buddy","PHI","Available","","SF,SG","87.0","7.9","$6.3","100%","0.436","0.881","219","1013","269","236","70","42","103","https://s.yimg.com/iu/api/res/1.2/YcPI9u_62sMUR.qR6ur3Gg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/02132024/5637.png"
"428.p.4892","66","Thompson","Klay","GSW","Available","","SF,SG","75.7","6.9","$7.2","100%","0.432","0.927","268","1375","254","176","50","35","117","https://s.yimg.com/iu/api/res/1.2/7t28KWx9A524jrJ1.XqsZA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10132023/4892.png"
"428.p.5484","67","Jones","Tyus","WAS","Questionable","GTD - Back","PG","85.3","7.7","$7.5","100%","0.489","0.800","106","790","179","485","71","18","66","https://s.yimg.com/iu/api/res/1.2/xC92veMoBJjv400WIJo8SQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10112023/5484.png"
"428.p.5159","68","Caldwell-Pope","Kentavious","DEN","Questionable","GTD - Abdomen","SF,SG","137.3","12.1","$1.2","92%","0.460","0.894","125","766","183","183","98","42","75","https://s.yimg.com/iu/api/res/1.2/3F6fxSDO.7NniGqLFJXEcg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10182023/5159.png"
"428.p.5432","69","Towns","Karl-Anthony","MIN","Available","","C,PF","24.9","2.6","$31.3","100%","0.504","0.873","136","1349","515","189","43","41","177","https://s.yimg.com/iu/api/res/1.2/CfVJRenuCfEMpgZZFX3j.Q--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10242023/5432.png"
"428.p.6219","70","Claxton","Nic","BKN","Available","","C","53.9","5.0","$18.7","100%","0.629","0.551","1","841","706","147","46","146","93","https://s.yimg.com/iu/api/res/1.2/hYPod8.Xhj_BLaXvU9htLQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10102023/6219.png"
